"_id","str_name","str_city_id","str_type","str_gps","str_google_name"
"111","Пашковского","1","ул.","43,032271 44,674015 43,032184 44,673983 43,031969 44,673414 43,031698 44,672078 43,031043 44,670131 43,0296 44,666221 ",""
"112","Первомайская","1","ул.","43,019741 44,652987 43,02129 44,657418 43,021474 44,658056 43,02189 44,659263 43,024479 44,667358 ",""
"113","Триандофилова","1","ул.","43,024863 44,672256 43,026588 44,671183 43,030675 44,669219 ",""
"114","Тургеневская","1","ул.","43,051513 44,650326 43,045793 44,650524 43,045425 44,65068 43,045284 44,650825 43,042434 44,652879 43,0421 44,653056 43,042002 44,653502 43,04014 44,654703 43,039113 44,655433 43,036795 44,657171 43,031129 44,661055 43,031063 44,661119 43,030428 44,661307 43,029588 44,661731 43,029443 44,661827 43,029404 44,661924 43,029388 44,662342 43,029357 44,6626 43,029302 44,662841 43,029294 44,662964 43,020419 44,668339 43,019031 44,669064 43,017682 44,669981 43,014124 44,672127 43,012857 44,67276 43,009664 44,674841 ",""
"115","Цейская","1","ул.","43,024118 44,66246 43,026141 44,661178 ",""
"116","Гурциева","1","ул.","43,017309 44,693992 43,015595 44,695001 ",""
"117","Алагирская","1","ул.","43,025279 44,675978 43,023969 44,672341 43,023882 44,672105 43,023824 44,671869 43,023318 44,670137 43,022749 44,668479 ",""
"118","Гадиева","1","ул.","43,017839 44,679755 43,016933 44,676949 43,016697 44,676102 43,016635 44,675957 43,015591 44,672787 43,013579 44,666371 43,013026 44,663007 43,012351 44,659515 43,012336 44,659177 43,012371 44,659005 43,012457 44,658705 43,012493 44,658356 43,012485 44,65812 43,012426 44,657235 43,012375 44,656876 43,01088 44,650508 ",""
"119","Ген.Плиева","1","ул.","43,020561 44,679825 43,020435 44,679181 43,019208 44,674589 43,016921 44,667631 ","Генерала Плиева"
"120","Гикало","1","ул.","43,022141 44,678087 43,020761 44,673607 43,01987 44,670196 43,019427 44,670399 43,01829 44,666778 ",""
"121","Дзержинского","1","ул.","43,019792 44,658839 43,020133 44,664912 43,020129 44,665121 43,020102 44,665303 43,020066 44,66548 43,020019 44,665636 43,019953 44,665716 43,019659 44,665958 43,020823 44,669659 43,021365 44,671215 43,022306 44,674203 43,022671 44,675249 43,023577 44,677856 ",""
"122","Зангиева","1","ул.","43,018674 44,677582 43,014124 44,680485 43,013552 44,680785 43,012595 44,681021 43,010782 44,681847 43,010716 44,681831 43,008127 44,681584 43,00795 44,681745 43,007134 44,681552 43,00662 44,681606 43,004871 44,681515 43,001717 44,681209 ",""
"123","Кубалова","1","ул.","43,024561 44,67645 43,023898 44,674466 43,022694 44,670437 43,022612 44,670271 43,021345 44,666333 43,020961 44,665207 ",""
"124","С.Мамсурова","1","ул.","43,019313 44,679508 43,018066 44,67564 43,018007 44,675517 43,017882 44,675362 43,017803 44,675222 43,015591 44,66842 ","Мамсурова"
"125","Митькина","1","ул.","43,021482 44,678457 43,020443 44,675362 43,020039 44,674015 43,019996 44,673827 43,0196 44,672288 43,019168 44,670609 ",""
"126","Спартака","1","ул.","43,020447 44,675329 43,021784 44,674578 43,023557 44,673479 ",""
"127","Средняя","1","ул.","43,021835 44,677083 43,023016 44,676311 43,0242 44,675485 ",""
"128","Кирпичный","1","пер.","43,010994 44,68748 43,010704 44,68652 ",""
"129","Кобинский","1","пер.","43,013206 44,686434 43,012555 44,684148 ",""
"130","Охотничий","1","пер.","43,011751 44,678258 43,009762 44,679363 43,008382 44,679417 ",""
"131","Тракторный","1","пер.","43,010586 44,672733 43,010061 44,672711 43,009154 44,672787 43,008072 44,672771 ",""
"132","В.Абаева","1","ул.","43,015756 44,683864 43,014595 44,684315 43,010751 44,686482 43,010343 44,686782 43,010249 44,686836 43,010155 44,686852 43,010041 44,686836 43,009378 44,686632 43,009249 44,6866 43,00848 44,686611 43,004769 44,685999 43,001619 44,68572 43,001634 44,685709 ","Васо Абаева"
"133","Бр.Темировых","1","ул.","43,011696 44,681418 43,009959 44,675758 43,009645 44,674863 43,009186 44,673291 43,009127 44,672797 43,008978 44,664686 ","Братьев Темировых"
"134","Газданова","1","ул.","43,014826 44,685624 43,014191 44,683194 ",""
"135","Герцена","1","ул.","43,008495 44,67799 43,00817 44,681563 ",""
"136","Грибоедова","1","ул.","43,008005 44,675603 43,007868 44,665346 ",""
"137","Дарьяльская","1","ул.","43,004824 44,684519 43,004753 44,685967 ",""
"138","Дивизии НКВД","1","ул.","43,016925 44,676944 43,01385 44,678822 43,013144 44,679122 43,011355 44,680216 43,010461 44,680651 ",""
"139","Коблова","1","ул.","43,014222 44,668474 43,010979 44,670303 43,010551 44,670582 43,010221 44,670619 43,008048 44,670662 ",""
"140","Красногвардейская","1","ул.","43,012995 44,662986 43,009621 44,664327 43,005542 44,666591 43,002505 44,669209 43,002234 44,669622 43,00205 44,670115 43,001952 44,670823 43,00183 44,675056 43,001815 44,675533 43,001666 44,684465 43,001587 44,685693 ",""
"141","Ларская","1","ул.","43,014269 44,68034 43,013089 44,676113 43,012889 44,675796 43,012579 44,67445 ",""
"142","Левандовского","1","ул.","43,009464 44,677105 43,011496 44,677271 43,011583 44,67733 43,012567 44,677362 ",""
"143","Малая","1","ул.","43,004067 44,685892 43,004169 44,684728 ",""
"144","Пироговская","1","ул.","43,01261 44,680989 43,011767 44,678264 43,011128 44,675995 ",""
"145","Ш.Руставели","1","ул.","43,016329 44,679058 43,013152 44,669133 ","Шота Руставели"
"146","Серафимовича","1","ул.","43,014983 44,679911 43,013838 44,675887 43,013505 44,674793 43,012853 44,672771 43,011865 44,669874 43,011614 44,668919 43,011606 44,668806 43,011504 44,6685 ",""
"147","Турбинная","1","ул.","43,005396 44,68609 43,005463 44,684674 ",""
"148","Ушинского","1","ул.","43,013548 44,680753 43,013136 44,679143 43,012159 44,675941 43,011033 44,672577 43,010696 44,672685 43,010551 44,670614 ",""
"149","Ч.Баева","1","ул.","43,01938 44,682223 43,018878 44,682357 43,017854 44,682512 43,017537 44,682636 43,01503 44,683092 43,014913 44,683092 43,014764 44,683043 43,014575 44,683006 43,014497 44,683017 43,012826 44,683912 43,01072 44,685527 43,010543 44,685774 43,010453 44,686005 43,010425 44,686182 43,010421 44,686369 43,010421 44,686675 ","Чермена Баева"
"150","Покровский","1","пер.","43,035831 44,675925 43,035427 44,673704 ",""
"151","Павловский","1","пер.","43,035553 44,676096 43,03589 44,677743 ",""
"152","Теречный","1","пер.","43,034321 44,671703 43,034129 44,671644 43,033815 44,670947 43,033815 44,670834 43,033859 44,670727 43,03358 44,670212 ",""
"153","Тимирязевский","1","пер.","43,035035 44,68086 43,036325 44,680592 43,03756 44,680243 ",""
"154","Августовских событий","1","ул.","43,039113 44,674739 43,035847 44,675946 43,035556 44,676064 43,035396 44,676129 43,03438 44,676509 ",""
"155","Ген.Масленникова","1","ул.","43,036686 44,682834 43,036341 44,680608 ","Генерала Масленникова"
"156","Воробьёва","1","ул.","43,038791 44,673393 43,036376 44,674407 ",""
"157","Гоголя","1","ул.","43,039709 44,677191 43,037168 44,67813 ",""
"158","Заводская","1","ул.","43,048271 44,67762 43,042437 44,683478 ",""
"159","Затеречная","1","ул.","43,033949 44,672127 43,034164 44,671966 43,034262 44,671832 43,034353 44,671687 43,034474 44,671429 43,034615 44,670845 43,034643 44,670512 43,034541 44,670169 ",""
"160","Зортова","1","ул.","43,046366 44,667932 43,038728 44,670796 43,038611 44,670877 ",""
"161","Интернациональная","1","ул.","43,047863 44,675539 43,042516 44,677486 43,042383 44,677497 43,037435 44,679412 ",""
"162","Красноармейская","1","ул.","43,039422 44,676011 43,036909 44,676939 ",""
"163","Л.Толстого","1","ул.","43,036094 44,673092 43,038391 44,684154 43,038611 44,684384 43,039328 44,68557 ","Льва Толстого"
"164","Ломоносова","1","ул.","43,037701 44,680635 43,040297 44,679701 ",""
"165","Маркова","1","ул.","43,048059 44,676493 43,043645 44,681219 43,033678 44,691503 ",""
"166","Миллера","1","ул.","43,037007 44,677561 43,033502 44,6788 43,032471 44,67909 43,032412 44,679058 43,031471 44,679331 43,030592 44,679637 43,030561 44,679793 43,029722 44,679932 ",""
"167","Навагинская","1","ул.","43,038615 44,672647 43,036211 44,673564 ",""
"168","Р.Люксембург","1","ул.","43,036082 44,673216 43,033988 44,674675 ","Розы Люксембург"
"169","Ростовская","1","ул.","43,041018 44,681804 43,040904 44,681987 43,033984 44,689159 ",""
"170","Тамаева","1","ул.","43,027098 44,68645 43,028981 44,685988 43,031247 44,685618 43,031259 44,685479 43,033184 44,685355 43,038336 44,684014 43,03838 44,684197 43,033357 44,685597 43,033212 44,685618 43,031302 44,68572 ",""
"171","Титова","1","ул.","43,041524 44,683301 43,040955 44,682083 43,040759 44,68152 43,038446 44,671901 43,038411 44,671569 43,038403 44,671354 43,038442 44,671188 43,038493 44,671038 43,038579 44,670914 ",""
"172","Тогоева","1","ул.","43,036184 44,668398 43,034435 44,670249 43,033451 44,671129 ",""
"173","Торчинова","1","ул.","43,035109 44,676204 43,034713 44,674197 ",""
"174","Чкалова","1","ул.","43,040508 44,667814 43,040846 44,669069 43,04101 44,669874 43,042422 44,677164 43,0425 44,677518 43,043367 44,681257 43,043355 44,681402 43,043327 44,68145 43,04332 44,681536 43,043531 44,682357 ",""
"175","Яшина","1","ул.","43,038423 44,67188 43,036227 44,672749 43,036129 44,672856 43,036101 44,672921 ",""
"176","Беляевский","1","пер.","43,031612 44,678242 43,031373 44,67696 ",""
"177","Свободы","1","пл.","43,024137 44,681729 43,025184 44,681515 ",""
"178","Театральный","1","пер.","43,030506 44,678639 43,03058 44,679766 ",""
"179","Ленина","1","пл.","43,030682 44,680447 43,030282 44,680517 ",""
"180","Мира","1","пр-т.","43,034749 44,679701 43,025208 44,681177 43,024106 44,681171 43,024141 44,681729 43,025188 44,681579 43,034788 44,680045 ",""
"181","Баллаева","1","ул.","43,034392 44,677287 43,032831 44,677915 43,032271 44,678092 43,031341 44,678328 43,029518 44,678929 ",""
"182","Гибизова","1","ул.","43,031322 44,677073 43,030639 44,677373 43,02998 44,677706 43,029318 44,678071 43,02931 44,678194 43,027757 44,67872 ",""
"183","Джанаева","1","ул.","43,036278 44,693273 43,035968 44,693198 43,035803 44,693112 43,035549 44,692898 43,035462 44,692791 43,035321 44,69256 43,035184 44,692286 43,035153 44,691986 43,035156 44,691841 43,035133 44,691718 43,035145 44,691503 43,035106 44,691283 43,03369 44,688569 43,033466 44,687104 43,033376 44,686841 43,032608 44,68042 43,031992 44,67652 ",""
"184","Маяковского","1","ул.","43,0324 44,675496 43,032565 44,676198 43,033584 44,683692 ",""
"185","Некрасова","1","ул.","43,031545 44,680211 43,031326 44,67836 ",""
"186","Никитина","1","ул.","43,03409 44,683548 43,033482 44,678822 43,033019 44,675968 ",""
"187","Огнева","1","ул.","43,034008 44,675324 43,032365 44,676338 43,031349 44,676788 ",""
"188","12-я Линия","1","ул.","43,100074 44,650798 43,105158 44,653105 ","Линия 12-я"
"189","Тхапсаева","1","ул.","43,032608 44,675345 43,032412 44,675469 43,027761 44,677765 ",""
"190","Петровский","1","пер.","43,034396 44,681852 43,034184 44,680152 ",""
"191","Вахтангова","1","пер.","43,03269 44,681182 43,030596 44,681547 ",""
"192","Куйбышева","1","ул.","43,034557 44,733667 43,032757 44,720508 43,032729 44,720036 43,032749 44,719929 43,032812 44,719854 43,036086 44,719312 43,036454 44,719307 43,036317 44,718996 43,036176 44,718744 43,036011 44,718513 43,035729 44,717934 43,035102 44,717086 43,034878 44,716925 43,033294 44,715326 43,033259 44,715241 43,033157 44,715155 43,03287 44,714447 43,032941 44,713862 43,032827 44,713637 43,032118 44,701867 43,032 44,690838 43,031973 44,689963 43,03182 44,688794 43,03058 44,681579 43,030479 44,680753 ",""
"193","Базарный","1","пер.","",""
"194","Бородинская","1","ул.","43,025396 44,687973 43,027204 44,687614 43,027283 44,687925 43,029247 44,687539 43,031396 44,687238 43,031698 44,687297 43,033361 44,686841 ",""
"195","Гостиева","1","ул.","43,030961 44,684111 43,026867 44,684669 ",""
"196","М.Горького","1","ул.","43,027639 44,678156 43,030047 44,69322 43,030228 44,703423 43,030604 44,710359 43,030537 44,710515 43,030596 44,711636 43,03071 44,711829 43,030784 44,713154 ","Максима Горького"
"197","Безымянный","1","пер.","",""
"198","Э.Дзусова","1","ул.","43,101907 44,636936 43,099526 44,647354 43,099463 44,647515 43,098265 44,649017 43,086238 44,653947 ","Эдуарда Дзусова"
