_id,cat_name,cat_name2
1260,ВОДОСНАБЖЕНИЕ И КАНАЛИЗАЦИЯ,ЖКХ
1280,"ВОЕННАЯ ФОРМА, СПЕЦОДЕЖДА И ФУРНИТУРА – ПОШИВ, ПРОДАЖА",Одежда и обувь
1290,"ВОКЗАЛЫ, АВТОВОКЗАЛЫ, АЭРОВОКЗАЛЫ ",Вокзалы
1300,ВРАЧЕБНО-ТРУДОВЫЕ ЭКСПЕРТИЗЫ ,
1310,"ВТОРИЧНОЕ СЫРЬЕ – ПЕРЕРАБОТКА, ПРОДАЖА",Специализированные
1330,ВЫСТАВОЧНЫЕ ЗАЛЫ И ГАЛЕРЕИ ХУДОЖЕСТВЕННЫЕ ,Выставочные залы и художественные галереи
1340,ВЫСШИЕ УЧЕБНЫЕ ЗАВЕДЕНИЯ,Вузы
1350,"ВЫШИВКА – ИЗГОТОВЛЕНИЕ, ПРОДАЖА",Ателье по пошиву одежды
1360,"ГАЗ ПРИРОДНЫЙ – ПОСТАВКА, ПЕРЕРАБОТКА",
1370,"ГАЗЕТЫ, ЖУРНАЛЫ, СПРАВОЧНИКИ – РЕДАКЦИИ",
1380,"ГАЗЫ ТЕХНИЧЕСКИЕ И МЕДИЦИНСКИЕ – ПРОДАЖА, ПРОИЗВОДСТВО",Специализированные
1390,ГАРАЖНЫЕ КООПЕРАТИВЫ,
1400,ГЕОЛОГИ,Геологи
1420,ГИПСОКАРТОН – ПРОДАЖА,Строительные
1450,ГОРОДСКОЙ ПАССАЖИРСКИЙ ТРАНСПОРТ,Городской транспорт
1470,ГОСТИНИЦЫ,Гостиницы
1490,"ДВОРЦЫ И ДОМА КУЛЬТУРЫ, КЛУБЫ",Дворцы и дома культуры
1510,ДЕКОРАТИВНО-ПРИКЛАДНОЕ ИСКУССТВО,Декоративно-прикладное искусство
1530,"ДЕТСКАЯ ОДЕЖДА, ДЕТСКИЕ ТОВАРЫ – ПРОДАЖА",Детские
1540,"ДЕТСКИЕ ДОМА, ПРИЕМНИКИ И ПРИЮТЫ","Пансионаты, Приемники, Приюты"
1550,ДЕТСКИЕ И МОЛОДЕЖНЫЕ ОРГАНИЗАЦИИ,Дополнительное образование
1560,"ДЕТСКИЕ САДЫ, ЯСЛИ",Детские сады
1570,"ДЕТСКИЕ ТОВАРЫ – ИГРУШКИ, ИГРЫ",Детские
1590,ДЕТСКОЕ ПИТАНИЕ – ПРОДАЖА,Детские
1600,ДИЗАЙН ИНТЕРЬЕРА,Архитектура и проектирование;Дизайн интерьера
1610,ДИСПАНСЕРЫ,Медицинские центры
1620,"ДОМА И ПАНСИОНАТЫ ДЛЯ ВЕТЕРАНОВ, ИНВАЛИДОВ И ПРЕСТАРЕЛЫХ","Пансионаты, Приемники, Приюты"
1630,ДОРОЖНО-СТРОИТЕЛЬНЫЕ РАБОТЫ,Дороги
1650,ДОРОЖНЫЕ ЗНАКИ – ИЗГОТОВЛЕНИЕ,Дороги
1660,ДОШКОЛЬНОЕ ОБУЧЕНИЕ ДОПОЛНИТЕЛЬНОЕ,Детские сады
1670,"ЖАЛЮЗИ И РОЛЬСТАВНИ – ПРОДАЖА, УСТАНОВКА, РЕМОНТ","Окна, жалюзи, рольставни"
1680,ЖЕЛЕЗОБЕТОННЫЕ ИЗДЕЛИЯ И КОНСТРУКЦИИ – ПРОИЗВОДСТВО,Строительные
1690,ЖЕНСКИЕ КОНСУЛЬТАЦИИ,Женские консультации
1700,ЖИЛИЩНО-КОММУНАЛЬНОЕ ХОЗЯЙСТВО,ЖКХ
1720,"ЗАГСЫ, ДВОРЦЫ БРАКОСОЧЕТАНИЯ, БРАЧНЫЕ АГЕНТСТВА",ЗАГСы
1730,"ЗАМКИ, ЗАПОРНЫЕ УСТРОЙСТВА – ПРОДАЖА, УСТАНОВКА, РЕМОНТ",Строительные
1740,"ЗАНАВЕСИ, ШТОРЫ, КАРНИЗЫ – ПОШИВ, ПРОДАЖА","Окна, жалюзи, рольставни"
1750,"ЗАПОВЕДНИКИ, ЗАКАЗНИКИ",Зоопарки
1760,ЗЕМЛЕУСТРОИТЕЛИ,Архитектура и проектирование
1770,"ЗЕРКАЛА – ИЗГОТОВЛЕНИЕ, РЕМОНТ, ПРОДАЖА",Строительные
1780,ЗООЛОГИЧЕСКИЕ ТОВАРЫ И УСЛУГИ,Зоомагазины
1790,ИЗДАТЕЛЬСТВА,
1800,ИНЖИНИРИНГ – УСЛУГИ,Строительные компании
1820,ИНОСТРАННЫЕ ЯЗЫКИ – ПЕРЕВОДЫ,Иностранные переводы
1840,"ИНСТИТУТЫ – НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЕ, ПРОЕКТНЫЕ",Вузы
1860,"ИНСТРУМЕНТЫ – ПРОДАЖА, РЕМОНТ",Хозтовары
1870,ИНСТРУМЕНТЫ – ПРОИЗВОДСТВО,Хозтовары
1880,ИНТЕРНЕТ – ВЕБ-ДИЗАЙН,
1900,ИНТЕРНЕТ – УСЛУГИ ДОСТУПА,Телефон и Интернет
1910,ИНТИМНЫЕ ТОВАРЫ – ПРОДАЖА,Специализированные
1920,"ИНФОРМАЦИОННЫЕ АГЕНТСТВА, СЛУЖБЫ, ЦЕНТРЫ",
1930,"КАМЕНЬ НАТУРАЛЬНЫЙ – ОБРАБОТКА, ПРОИЗВОДСТВО ИЗДЕЛИЙ",Строительные
1950,КАНЦЕЛЯРСКИЕ ТОВАРЫ – ПРОДАЖА ,Канцтовары
1960,КАРТОГРАФИЯ И ГЕОДЕЗИЯ,
1980,"КАССОВЫЕ АППАРАТЫ, ВЕСЫ – ПРОДАЖА, РАСХОДНЫЕ МАТЕРИАЛЫ, РЕМОНТ",Бытовая техника и электроника
2010,"КИНО-, ВИДЕОСТУДИИ",
2020,"КИНОЛОГИЧЕСКИЕ ОРГАНИЗАЦИИ, ФЕЛИНОЛОГИ",
2030,"КИНОТЕАТРЫ И КИНОКОНЦЕРТНЫЕ ЗАЛЫ, DVD-ЗАЛЫ",Кинотеатры
2040,"КИРПИЧ – ПРОИЗВОДСТВО, ПРОДАЖА",Строительные
2050,"КЛУБЫ НОЧНЫЕ, ДИСКОТЕКИ",Ночные клубы
2070,КНИГИ – ПРОДАЖА ,Книги
2080,"КОВРЫ, ПАЛАСЫ, КОВРОВЫЕ ПОКРЫТИЯ – ПРОДАЖА ",Специализированные
2090,КОЖАНЫЕ ИЗДЕЛИЯ – ПРОДАЖА ,"Аксессуары (очки, часы, кожгалантерея)"
2100,"КОЛБАСНЫЕ ИЗДЕЛИЯ – ПРОДАЖА, ПРОИЗВОДСТВО",Продукты
2120,"КОЛХОЗЫ, СОВХОЗЫ, КРЕСТЬЯНСКО-ФЕРМЕРСКИЕ ХОЗЯЙСТВА",
2130,КОМПЬЮТЕРНЫЕ КЛУБЫ,"Компьютерные клубы, игровые автоматы"
2160,КОМПЬЮТЕРЫ – ПРОГРАММНОЕ ОБЕСПЕЧЕНИЕ,Компьютеры
2180,"КОМПЬЮТЕРЫ, ОРГТЕХНИКА – ПРОДАЖА, РЕМОНТ, СЕРВИС",Компьютеры
2200,"КОНДИТЕРСКИЕ ИЗДЕЛИЯ – ПРОИЗВОДСТВО, ПРОДАЖА ",Кондитерские изделия
2210,"КОНДИЦИОНЕРЫ – ПРОДАЖА, УСТАНОВКА, РЕМОНТ","Кондиционеры, вентиляция"
2280,КОСМЕТИКА И ПАРФЮМЕРИЯ – ПРОДАЖА,Косметика и парфюмерия
2320,"КРАСКИ, ЛАКИ – ПРОДАЖА ",Строительные
2330,КРОВЕЛЬНЫЕ МАТЕРИАЛЫ – ПРОДАЖА,Строительные
2350,КУЛЬТУРНО-ПРОСВЕТИТЕЛЬСКАЯ ДЕЯТЕЛЬНОСТЬ,
2360,КУРСЫ – ОБУЧЕНИЯ И ПЕРЕПОДГОТОВКИ,Обучающие курсы
2370,"КУРЬЕРСКИЕ СЛУЖБЫ, УСЛУГИ",Курьеры
2390,"ЛАНДШАФТНОЕ ПРОЕКТИРОВАНИЕ, ФИТОДИЗАЙН",Ландшафтный дизайн
2400,ЛЕКСАН – ПРОДАЖА,Строительные
2420,"ЛЕСОПИЛОМАТЕРИАЛЫ – ПРОДАЖА, ПРОИЗВОДСТВО",Строительные
2430,ЛЕСТНИЦЫ – ИЗГОТОВЛЕНИЕ,Строительные компании
2450,ЛИНЗЫ КОНТАКТНЫЕ ,"Аксессуары (очки, часы, кожгалантерея)"
2460,ЛИФТЫ – ТЕХНИЧЕСКОЕ ОБСЛУЖИВАНИЕ ,ЖКХ
2480,ЛИЦЕНЗИРОВАНИЕ И СЕРТИФИКАЦИЯ ТОВАРОВ И УСЛУГ,Охота и рыбалка
2485,ЛОКАЛЬНЫЕ ВЫЧИСЛИТЕЛЬНЫЕ СЕТИ ,Телефон и Интернет
2490,ЛОМБАРДЫ,Ломбарды
2540,МЕБЕЛЬ – ИЗГОТОВЛЕНИЕ И РЕМОНТ,Ремонт
2550,МЕБЕЛЬ ДЛЯ ДОМА – ПРОДАЖА ,Мебель
2560,МЕБЕЛЬ ДЛЯ ОФИСОВ И ПРЕДПРИЯТИЙ – ПРОДАЖА,Мебель
2570,МЕБЕЛЬНАЯ ФУРНИТУРА – ПРОДАЖА,Мебель
2580,МЕД – ПРОДАЖА,Продукты
2600,"МЕДИЦИНА – ДИАГНОСТИКА, КОНСУЛЬТАЦИИ, ОБСЛЕДОВАНИЕ ",Поликлиники;Клиники;Медицинские центры
2610,МЕДИЦИНА – КОСМЕТОЛОГИЯ И ПЛАСТИЧЕСКАЯ ХИРУРГИЯ,Клиники
2620,МЕДИЦИНА – ЛАБОРАТОРИИ,Лаборатории
2640,МЕДИЦИНА – НЕМЕДИКАМЕНТОЗНЫЕ МЕТОДЫ ЛЕЧЕНИЯ,
2650,"МЕДИЦИНА – ОБЪЕДИНЕНИЯ, ЦЕНТРЫ",Медицинские центры
2660,МЕДИЦИНА – СУДЕБНАЯ ЭКСПЕРТИЗА,Суды
2670,МЕДИЦИНСКИЕ КОМИССИИ ДЛЯ ВОДИТЕЛЕЙ,
2680,"МЕДИЦИНСКИЕ ПРИБОРЫ, ИНСТРУМЕНТЫ – ПРОДАЖА",Медицинские
2710,"МЕТАЛЛОИЗДЕЛИЯ, МЕТАЛЛОКОНСТРУКЦИИ – ИЗГОТОВЛЕНИЕ, ПРОДАЖА",Строительные
2730,МЕТАЛЛОПРОКАТ – ПРОДАЖА,Строительные
2740,МЕТЕОРОЛОГИЯ,Метеорология
2750,МЕТРОЛОГИЯ,Метрология
2760,МЕХА И МЕХОВЫЕ ИЗДЕЛИЯ – ПРОДАЖА ,Одежда и обувь
2770,"МОРОЖЕНОЕ – ПРОИЗВОДСТВО, ПРОДАЖА",Продукты
2780,МУЗЕИ,Музеи
2790,"МУЗЫКАЛЬНЫЕ ИНСТРУМЕНТЫ – ПРОИЗВОДСТВО, ПРОДАЖА, РЕМОНТ",Музыкальные
2820,"НАСОСЫ, НАСОСНОЕ ОБОРУДОВАНИЕ – ПРОДАЖА, УСТАНОВКА",Строительные
2830,НЕДВИЖИМОСТЬ – ОЦЕНКА,Оценка недвижимости
2840,"НЕДВИЖИМОСТЬ – ПОКУПКА, ПРОДАЖА, АРЕНДА","Аренда, Покупка, Продажа"
2850,"НЕФТЕПРОДУКТЫ – ПЕРЕРАБОТКА, ПРОИЗВОДСТВО",АЗС
2860,НОТАРИУСЫ,Нотариальные услуги
2870,ОБОИ – ПРОДАЖА ,Строительные
2880,ОБОРУДОВАНИЕ ЗВУКОВОЕ И ОСВЕТИТЕЛЬНОЕ,Строительные
2885,"ОБРАЗОВАНИЕ СРЕДНЕЕ, ПРОФЕССИОНАЛЬНОЕ",Техникумы и училища
2890,"ОБУВЬ – ПОШИВ, РЕМОНТ, ОКРАСКА",Одежда и обувь
2900,ОБУВЬ – ПРОДАЖА ,Одежда и обувь
2910,"ОБУВЬ – ПРОТЕЗНО-ОРТОПЕДИЧЕСКАЯ – ИЗГОТОВЛЕНИЕ, РЕМОНТ ",Одежда и обувь
2920,ОБУЧЕНИЕ ЗА РУБЕЖОМ ,
2930,ОБЩЕЖИТИЯ,
2940,ОБЩЕСТВЕННЫЕ ОРГАНИЗАЦИИ  И АССОЦИАЦИИ,
2960,ОДЕЖДА SECOND HAND,Одежда и обувь
2970,ОДЕЖДА ЖЕНСКАЯ – ПРОДАЖА,Одежда и обувь
2980,ОДЕЖДА МУЖСКАЯ – ПРОДАЖА,Одежда и обувь
2990,ОЗЕЛЕНЕНИЕ И БЛАГОУСТРОЙСТВО,Ландшафтный дизайн
3000,ОКНА И ДВЕРИ ИЗ АЛЮМИНИЯ,"Двери, дверные блоки, Ворота;Окна, жалюзи, рольставни"
3010,ОКНА И ДВЕРИ ИЗ ДЕРЕВА,"Двери, дверные блоки, Ворота;Окна, жалюзи, рольставни"
3020,ОКНА И ДВЕРИ ИЗ МЕТАЛЛОПЛАСТИКА,"Двери, дверные блоки, Ворота;Окна, жалюзи, рольставни"
3030,ОПЕРАТИВНАЯ ПОЛИГРАФИЯ,Полиграфические услуги
3040,ОТДЕЛОЧНО-СТРОИТЕЛЬНЫЕ И РЕМОНТНЫЕ РАБОТЫ,Строительно-отделочные работы
3050,"ОТОПИТЕЛЬНОЕ ОБОРУДОВАНИЕ И СИСТЕМЫ – ПРОДАЖА, МОНТАЖ",Сантехника и отопление
3060,ОТХОДЫ И МУСОР – ВЫВОЗ И ПЕРЕРАБОТКА,ЖКХ
3070,"ОФОРМЛЕНИЕ СВАДЕБ, ЮБИЛЕЕВ И ДРУГИХ ТОРЖЕСТВ",Организация праздников
3080,"ОХОТА И РЫБОЛОВСТВО – ХОЗЯЙСТВА, ОБЩЕСТВА",
3090,ОХОТНИЧЬИ И РЫБОЛОВНЫЕ ПРИНАДЛЕЖНОСТИ,Охота и рыбалка
3100,ОХРАННАЯ ДЕЯТЕЛЬНОСТЬ И БЕЗОПАСНОСТЬ,Специализированные
3110,"ОХРАННО-ПОЖАРНЫЕ СИСТЕМЫ – ПРОДАЖА, МОНТАЖ",Специализированные
3120,ОЧКИ И ОПТИКА – ПРОДАЖА,"Аксессуары (очки, часы, кожгалантерея)"
3150,ПАРИКМАХЕРСКИЕ ПРИНАДЛЕЖНОСТИ,Специализированные
3160,"ПАРКЕТ, ПАРКЕТНАЯ ДОСКА – ПРОДАЖА",Строительные
3170,ПАРКИ КУЛЬТУРЫ И ОТДЫХА,Парки культуры и отдыха
3210,ПЕРСОНАЛЬНЫЕ МАСТЕРСКИЕ,
3220,"ПЕЧАТИ, ШТАМПЫ – ИЗГОТОВЛЕНИЕ",Полиграфические услуги
3240,"ПИВО – ПРОИЗВОДСТВО, ОПТОВАЯ ПРОДАЖА",Продукты
3280,"ПОДАРКИ, СУВЕНИРЫ – ПРОДАЖА","Подарки, сувениры"
3290,ПОДШИПНИКИ – ПРОДАЖА,Специализированные
3310,ПОЛИКЛИНИКИ ,Поликлиники
3320,ПОЛИМЕРНЫЕ МАТЕРИАЛЫ И ИЗДЕЛИЯ,Специализированные
3330,"ПОЛИТИЧЕСКИЕ ПАРТИИ, ОРГАНИЗАЦИИ",
3340,"ПОСТЕЛЬНЫЕ ПРИНАДЛЕЖНОСТИ – ПРОИЗВОДСТВО, ПРОДАЖА",Специализированные
3350,ПОСУДА – ПРОДАЖА,Посуда
3360,ПОСУДА РАЗОВАЯ – ПРОДАЖА,Посуда
3390,ПОЧТА МЕЖДУНАРОДНАЯ ,Почта и телеграф
3395,ПОЧТОВЫЕ УСЛУГИ,Почта и телеграф
3400,"ПРАЗДНИКИ – ОРГАНИЗАЦИЯ, ОБЕСПЕЧЕНИЕ",Организация праздников
3410,ПРАЧЕЧНЫЕ ,Прачечные
3420,ПРОДОВОЛЬСТВЕННЫЕ МАГАЗИНЫ,Продукты
3430,ПРОЕКТИРОВАНИЕ ПРОМЫШЛЕННЫХ И ГРАЖДАНСКИХ ОБЪЕКТОВ ,Архитектура и проектирование
3440,"ПРОКАТНЫЕ ПУНКТЫ – ПАЛАТКИ, СТОЛЫ, ПОСУДА",Прокат
3450,ПРОМЫШЛЕННОЕ ОБОРУДОВАНИЕ,Специализированные
3460,ПРОМЫШЛЕННОЕ ПРОИЗВОДСТВО – ДОБЫВАЮЩАЯ ПРОМЫШЛЕННОСТЬ,
3470,ПРОМЫШЛЕННОЕ ПРОИЗВОДСТВО – ЛЕГКАЯ ПРОМЫШЛЕННОСТЬ,
3480,"ПРОМЫШЛЕННОЕ ПРОИЗВОДСТВО – МАШИНОСТРОЕНИЕ, ПРИБОРОСТРОЕНИЕ",
3490,ПРОМЫШЛЕННОЕ ПРОИЗВОДСТВО – МЕТАЛЛУРГИЯ,
3500,ПРОМЫШЛЕННОЕ ПРОИЗВОДСТВО – ПИЩЕВАЯ ПРОМЫШЛЕННОСТЬ,
3510,ПРОМЫШЛЕННОЕ ПРОИЗВОДСТВО – СТРОИТЕЛЬНЫЕ МАТЕРИАЛЫ,Строительные
3511,ПРОМЫШЛЕННОЕ ПРОИЗВОДСТВО – ХИМИЧЕСКАЯ ПРОМЫШЛЕННОСТЬ,
3512,ПРОМЫШЛЕННОЕ ПРОИЗВОДСТВО – ЭЛЕКТРОНИКА,
3520,ПРОМЫШЛЕННОСТЬ – МАТЕРИАЛЬНО-ТЕХНИЧЕСКОЕ СНАБЖЕНИЕ,
3530,ПРОМЫШЛЕННЫЙ АЛЬПИНИЗМ,Специализированные
3560,ПРЯЖА – ПРОДАЖА,Специализированные
3570,"ПСИХОЛОГИ, ПСИХИАТРИЧЕСКАЯ ПОМОЩЬ","Психологи, психиатры"
3580,ПТИЦЕВОДСТВО,
3600,"РАДИОСВЯЗЬ – СИСТЕМЫ, ОБОРУДОВАНИЕ, УСТРОЙСТВА",Бытовая техника и электроника
3630,РЕКЛАМА – В СЕТИ ИНТЕРНЕТ ,Реклама
3640,РЕКЛАМА – НАРУЖНАЯ РЕКЛАМА,Реклама
3650,РЕКЛАМА – ОРГАНИЗАЦИЯ И ПРОВЕДЕНИЕ РЕКЛАМНЫХ КАМПАНИЙ,Реклама
3651,РЕКЛАМА – ПОЛИГРАФИЯ РЕКЛАМНАЯ,Реклама
3660,РЕКЛАМА – ПРЯМАЯ ПОЧТОВАЯ РЕКЛАМА,Реклама
3670,"РЕКЛАМА – РАЗМЕЩЕНИЕ В СПРАВОЧНИКАХ, ГАЗЕТАХ, ЖУРНАЛАХ ",Реклама
3680,РЕКЛАМА – РЕКЛАМА НА ТЕЛЕВИДЕНИИ И РАДИО,Реклама
3700,"РЕКЛАМНАЯ ДЕЯТЕЛЬНОСТЬ, РЕКЛАМНЫЕ АГЕНТСТВА",Реклама
3710,"РЕЛИГИЯ – ОРГАНИЗАЦИИ, ЦЕРКОВНЫЕ ТОВАРЫ",Религиозные учреждения
3720,"РЕСТОРАНЫ, БАРЫ, КАФЕ, БАНКЕТНЫЕ ЗАЛЫ","Рестораны, кафе, бары"
3730,РИТУАЛЬНЫЕ УСЛУГИ,Ритуальные услуги
3740,РОДИЛЬНЫЕ ДОМА,Родильные дома
3750,РОСПЕЧАТЬ,Почта и телеграф
3760,РЫБА – РЫБОХОЗЯЙСТВА,
3770,"РЫНКИ, ТОРГОВЫЕ ДОМА, ТОРГОВЫЕ ЦЕНТРЫ",Рынки;Торговые центры
3780,САДОВОДСТВО – САДОВОДЧЕСКИЕ ТОВАРИЩЕСТВА,
3800,"САДОВОДСТВО – СЕМЕНА, РАССАДА, ИНВЕНТАРЬ","Посадочные материалы,Инвентарь"
3810,"САЛОНЫ КРАСОТЫ, ПАРИКМАХЕРСКИЕ",Салоны красоты
3820,"САНАТОРИИ, ПРОФИЛАКТОРИИ, ДОМА И БАЗЫ ОТДЫХА","Базы отдыха, санатории, курорты"
3830,САНИТАРНО-ЭПИДЕМИОЛОГИЧЕСКИЕ СЛУЖБЫ,
3840,САНТЕХНИКА – ПРОДАЖА ,Сантехника и отопление
3850,САНТЕХНИЧЕСКОЕ И ОТОПИТЕЛЬНОЕ ОБОРУДОВАНИЕ – МОНТАЖ,Сантехника и отопление
3860,"СВАРОЧНОЕ ОБОРУДОВАНИЕ, ЭЛЕКТРОДЫ – ПРОДАЖА",Специализированные
3862,СВЯЗЬ – ТЕЛЕКОММУНИКАЦИОННЫЕ УСЛУГИ ,Телевидение и радиож:Телефон и Интернет
3870,"СЕЙФЫ – ПРОДАЖА, РЕМОНТ",Специализированные
3890,"СЕЛЬХОЗТЕХНИКА, ОБОРУДОВАНИЕ, ИНВЕНТАРЬ – ПРОДАЖА",Специализированные
3900,СКЛАДСКИЕ УСЛУГИ,"Склад, хранение"
3910,СКОРАЯ МЕДИЦИНСКАЯ ПОМОЩЬ,Скорая помощь
3930,СОТОВАЯ СВЯЗЬ,Операторы сотовой связи
3940,СОТОВАЯ СВЯЗЬ – ОПЛАТА УСЛУГ,Салоны связи
3950,"СОТОВЫЕ ТЕЛЕФОНЫ – ПРОДАЖА, ПОДКЛЮЧЕНИЕ",Салоны связи
3960,СОТОВЫЕ ТЕЛЕФОНЫ – РЕМОНТ,Ремонт
3990,"СПИД – ДИАГНОСТИКА, КОНСУЛЬТАЦИИ ",Медицинские центры
4010,СПОРТИВНЫЕ И ТУРИСТИЧЕСКИЕ ТОВАРЫ – ПРОДАЖА,Спорт
4020,"СПОРТИВНЫЕ КОМПЛЕКСЫ, СТАДИОНЫ, ЗАЛЫ, БАССЕЙНЫ",Спортивные комплексы;Стадионы
4030,"СПОРТИВНЫЕ ОБЩЕСТВА, КЛУБЫ, ФЕДЕРАЦИИ",Фитнес-клубы
4060,СПРАВОЧНЫЕ СЛУЖБЫ,Справка
4070,СПУТНИКОВАЯ НАВИГАЦИЯ И МОНИТОРИНГ,Специализированные
4080,СТАНЦИИ ПЕРЕЛИВАНИЯ КРОВИ,Лаборатории
4090,СТЕКЛО – ПРОДАЖА,Строительные
4100,"СТЕКЛОИЗДЕЛИЯ, СТЕКЛОТАРА – ПРОИЗВОДСТВО ",Строительные
4120,СТОМАТОЛОГИЧЕСКАЯ ПОМОЩЬ,Стоматология
4130,"СТРАХОВАНИЕ, СТРАХОВЫЕ КОМПАНИИ",Страхование
