"id_org","id_rubr"
"3","1860"
"3","3050"
"3","4140"
"3","4640"
"3","4910"
"8","699"
"8","700"
"8","930"
"8","1250"
"8","2200"
"8","4430"
"11","3420"
"16","980"
"16","2900"
"16","2970"
"26","3810"
"28","1530"
"29","2970"
"33","3000"
"33","3020"
"33","3730"
"33","4140"
"33","4470"
"36","3420"
"36","4430"
"37","1530"
"41","940"
"41","980"
"41","2760"
"41","2900"
"41","2970"
"41","3120"
"41","3340"
"52","1110"
"52","3420"
"55","2900"
"55","2970"
"58","740"
"63","3810"
"69","2900"
"69","4010"
"72","1590"
"76","3420"
"79","3420"
"80","3420"
"93","510"
"95","1530"
"98","3810"
"106","1110"
"106","3350"
"106","3420"
"106","3720"
"111","2900"
"115","4010"
"120","2900"
"120","2970"
"121","3810"
"129","3010"
"129","3020"
"135","3810"
"136","700"
"139","980"
"139","2900"
"139","2970"
"139","2980"
"140","740"
"140","1110"
"140","2970"
"140","2980"
"140","3420"
"140","4010"
"140","4230"
"144","1110"
"144","2320"
"144","3050"
"144","4640"
"151","4930"
"151","4940"
"161","980"
"161","2970"
"163","4230"
"177","3420"
"183","3280"
"183","3350"
"185","1110"
"185","3420"
"186","980"
"186","2970"
"186","2980"
"187","740"
"188","4010"
"198","2790"
"201","1110"
"201","2280"
"201","3350"
"201","3420"
"210","740"
"214","3070"
"214","3400"
"214","4540"
"216","510"
"218","2080"
"218","2870"
"218","4140"
"220","1350"
"220","3340"
"220","3560"
"228","740"
"229","4250"
"231","4090"
"231","4100"
"234","1110"
"234","3420"
"236","1950"
"236","2180"
"253","980"
"253","2900"
"253","2970"
"254","1570"
"255","2970"
"265","3420"
"265","4630"
"267","1110"
"267","3420"
"274","2420"
"275","2970"
"276","1110"
"276","1570"
"276","3420"
"282","1110"
"282","3350"
"282","3420"
"292","510"
"646","3810"
"711","2900"
"711","2970"
"711","2980"
"711","4640"
"713","3110"
"715","4140"
"715","4150"
"729","740"
"729","2680"
"731","1420"
"731","2320"
"731","4140"
"731","4470"
"731","4640"
"731","4680"
"746","2210"
"746","4220"
"772","1570"
"772","1950"
"772","2070"
"805","960"
"805","4140"
"806","1420"
"806","2320"
"806","2870"
"806","3010"
"806","3160"
"806","4140"
"809","2730"
"809","3050"
"809","3840"
"809","4490"
"811","3020"
"820","2550"
"820","2560"
"821","1150"
"821","2210"
"821","2540"
"821","2560"
"821","2820"
"821","3020"
"821","3050"
"823","2540"
"823","2550"
"823","2560"
"825","1770"
"825","2320"
"825","2870"
"825","4140"
